year,city,crime_major_category,crime_detail,latitude,longitude,occurance_time,clear_status,incident_address,notes
2022,Durham,Miscellaneous,Intimidation,36.03734,-78.87843,2022/05/20 12:00:00,Cleared By Arrest,3500 DEARBORN DR,No Data
2019,Durham,Fraud,Fraud-Identity Theft,35.90624,-78.90556,2019/01/01 00:01:00,Inactive,4400 EMERALD FOREST DR,No Data
2020,Durham,Theft,Larceny - Automobile Parts Or Accessories,35.98809,-78.88952,2020/03/09 00:00:00,Active/Open,100 EDGEMONT LN,No Data
2022,Durham,Theft,Towed/Abandoned Vehicle,35.92415,-78.78532,2022/07/19 10:30:00,Closed (Non-Criminal),1000 ANDREWS CHAPEL RD,No Data
2018,Durham,Drugs,Drug/Narcotic Violations,35.97721,-78.89507,2018/10/18 14:35:00,Inactive,800 DUPREE ST,No Data
2018,Durham,Drugs,Drug Equipment/Paraphernalia,35.97732,-78.89538,2018/10/18 14:35:00,Inactive,800 DUPREE ST,No Data
2018,Durham,Drugs,Drug/Narcotic Violations,35.9933,-78.85363,2018/11/19 12:00:00,Cleared By Arrest,300 JUNCTION RD,No Data
2019,Durham,Drugs,Drug/Narcotic Violations,36.03996,-78.88676,2019/02/19 17:28:00,Cleared By Arrest,3600 DANUBE LN,No Data
2018,Durham,Drugs,Drug/Narcotic Violations,35.99334,-78.85367,2018/11/20 17:00:00,Cleared By Arrest,300 JUNCTION RD,No Data
2019,Durham,Drugs,Drug/Narcotic Violations,35.98892,-78.92349,2019/01/13 16:59:00,Cleared By Arrest,1700 GUNTER ST,No Data
2019,Durham,Drugs,Drug Equipment/Paraphernalia,35.98919,-78.92308,2019/01/13 16:59:00,Cleared By Arrest,1700 GUNTER ST,No Data
2018,Durham,Theft,Motor Vehicle Theft,36.05155,-78.90447,2018/10/01 00:07:00,Active/Open,3800 N DUKE ST,Weapon: Personal Weapons
2018,Durham,Theft,Burglary,36.00219,-78.88339,2018/10/01 04:05:00,Inactive,1000 DREW ST,No Data
2018,Durham,Theft,Motor Vehicle Theft,35.95095,-78.9709,2018/10/01 05:00:00,Inactive,5000 GARRETT RD,No Data
2018,Durham,Theft,Towed/Abandoned Vehicle,35.94288,-78.91843,2018/10/01 05:33:00,(blank),200 KENT LAKE DR,No Data
2018,Durham,Theft,Towed/Abandoned Vehicle,35.9677,-78.90553,2018/10/01 05:56:00,Inactive,2600 ATLANTIC ST,No Data
2018,Durham,Assault,Simple Assault,35.98057,-78.87339,2018/10/01 05:53:00,Cleared By Arrest,2400 ANGIER AVE,Weapon: Personal Weapons
2018,Durham,Theft,Larceny - From Motor Vehicle,35.94593,-78.92783,2018/10/01 07:00:00,Active/Open,200 GREY ELM TRL,No Data
2018,Durham,Theft,Larceny - Shoplifting,35.98933,-78.85965,2018/10/01 07:25:00,Inactive,2400 HOLLOWAY ST,No Data
2018,Durham,Theft,Burglary,35.98635,-78.85869,2018/10/01 07:39:00,Inactive,300 US 70 SERVICE RD,No Data
2018,Durham,Theft,Lost Property,35.98766,-78.84766,2018/10/01 08:09:00,Inactive,HOLLOWAY ST/RUMMEL ST,No Data
2018,Durham,Theft,Towed/Abandoned Vehicle,35.9759,-78.88932,2018/10/01 08:39:00,Active/Open,SIMA AVE/RIDGEWAY AVE,No Data
2018,Durham,Theft,Vandalism,35.95717,-78.92935,2018/10/01 08:12:00,Inactive,300 ARCHDALE DR,No Data
2018,Durham,Theft,Larceny - From Motor Vehicle,35.89883,-78.95399,2018/10/01 08:54:00,Active/Open,8000 CRICHTON LN,No Data
2018,Durham,Assault,Simple Assault,35.88468,-78.83016,2018/10/01 07:00:00,Cleared By Arrest,5600 ARRINGDON PARK DR,Weapon: Personal Weapons
2018,Durham,Theft,Larceny - All Other,35.99727,-78.82231,2018/10/01 08:10:00,Inactive,1000 HOMECOMING WAY,No Data
2018,Durham,Drugs,Drug/Narcotic Violations,36.04615,-78.9338,2018/10/01 07:45:00,Cleared By Arrest,2500 HITCHCOCK DR,No Data
2018,Durham,Drugs,Drug Equipment/Paraphernalia,36.0459,-78.93377,2018/10/01 07:45:00,Cleared By Arrest,2500 HITCHCOCK DR,No Data
2018,Durham,Miscellaneous,Dv Info Report (No Crime),36.01219,-78.94164,2018/10/01 08:15:00,Active/Open,2800 CREST ST,No Data
2018,Durham,Theft,Larceny - All Other,35.95462,-78.98846,2018/10/01 08:51:00,(blank),3300 SOUTHWEST DURHAM DR,No Data
2018,Durham,Miscellaneous,All Other Criminal Offenses,35.99312,-78.90078,2018/10/01 08:37:00,Cleared By Arrest,200 S MANGUM ST,No Data
2018,Durham,Miscellaneous,All Other Criminal Offenses,35.99303,-78.90034,2018/10/01 09:00:00,Cleared By Arrest,200 S MANGUM ST,No Data
2018,Durham,Theft,Larceny - From Building,35.96214,-78.9115,2018/10/01 12:44:00,Cleared By Arrest,200 MUTUAL CT,No Data
2018,Durham,Theft,Motor Vehicle Theft,35.96209,-78.91148,2018/10/01 12:44:00,Cleared By Arrest,200 MUTUAL CT,No Data
2018,Durham,Theft,Motor Vehicle Theft,35.88536,-78.88713,2018/10/01 09:18:00,Cleared By Arrest,200 GLEN FALLS LN,No Data
2018,Durham,Theft,Larceny - From Motor Vehicle,35.95249,-78.96737,2018/10/01 10:04:00,(blank),4800 UNIVERSITY DR,Weapon: Personal Weapons
2018,Durham,Theft,Burglary,36.02969,-78.84219,2018/10/01 02:00:00,Inactive,1500 GLENN SCHOOL RD,No Data
2018,Durham,Theft,Larceny - From Motor Vehicle,36.05109,-78.92396,2018/10/01 09:59:00,Active/Open,1400 NEW CASTLE RD,No Data
2018,Durham,Theft,Motor Vehicle Theft,36.05127,-78.92371,2018/10/01 09:59:00,Active/Open,1400 NEW CASTLE RD,No Data
2018,Durham,Theft,Vandalism,35.99036,-78.92687,2018/10/01 01:20:00,Cleared By Exception,2000 CHAPEL HILL RD,No Data
2018,Durham,Theft,Towed/Abandoned Vehicle,36.04732,-78.92375,2018/10/01 10:23:00,Closed (Non-Criminal),1600 ROWEMONT DR,No Data
2018,Durham,Theft,Larceny - From Building,36.00701,-78.92171,2018/10/01 07:15:00,Inactive,1900 W MAIN ST,No Data
2018,Durham,Miscellaneous,All Other Offenses-Parole/Probation Violations,35.98104,-78.89679,2018/10/01 10:38:00,Cleared By Arrest,LINWOOD AVE/SPAULDING ST,No Data
2018,Durham,Miscellaneous,All Other Criminal Offenses,35.98074,-78.89667,2018/10/01 10:38:00,Cleared By Arrest,LINWOOD AVE/SPAULDING ST,No Data
2018,Durham,Theft,Larceny - All Other,35.8992,-78.95359,2018/10/01 03:30:00,(blank),8000 CRICHTON LN,Weapon: Personal Weapons
2018,Durham,Theft,Towed/Abandoned Vehicle,36.04891,-78.89705,2018/10/01 11:42:00,Inactive,4000 FREEDOM LAKE DR,No Data
